Reynolds,File,Angle,Cl,Cd
100000,com+101,4.0,1.216,0.01965
100000,com+101,5.0,1.323,0.02121
100000,com+101,6.0,1.4166,0.02371
100000,com+101,7.0,1.5036,0.02618
100000,com+101,8.0,1.5807,0.02793
100000,com+101,9.0,1.6483,0.02936
100000,com+101,10.0,1.7048,0.03144
100000,com+101,11.0,1.7292,0.03397
100000,com+101,12.0,1.7089,0.03902
100000,com+101,13.0,1.648,0.05119
100000,com+101,14.0,1.6221,0.06375
100000,com+101,15.0,1.6169,0.07586
100000,com+101,16.0,1.594,0.09048
100000,com+101,17.0,1.5309,0.11324
100000,com+101,18.0,1.3767,0.1609
100000,com+101,19.0,1.2458,0.22505
100000,com+101,20.0,1.2315,0.27741
100000,deadpool3,0.0,0.5314,0.02639
100000,deadpool3,1.0,0.6942,0.0211
100000,deadpool3,2.0,0.8807,0.0167
100000,deadpool3,3.0,0.9925,0.01718
100000,deadpool3,4.0,1.1082,0.0181
100000,deadpool3,5.0,1.2017,0.01968
100000,deadpool3,6.0,1.2986,0.02157
100000,deadpool3,7.0,1.3728,0.02304
100000,deadpool3,8.0,1.4501,0.02498
100000,deadpool3,9.0,1.518,0.02691
100000,deadpool3,10.0,1.5658,0.02879
100000,deadpool3,11.0,1.573,0.03096
100000,deadpool3,12.0,1.5284,0.03725
100000,deadpool3,13.0,1.511,0.04643
100000,deadpool3,14.0,1.4898,0.0578
100000,deadpool3,15.0,1.4455,0.0742
100000,deadpool3,16,1.4455,0.0742
100000,deadpool3,17,1.4455,0.0742
100000,deadpool3,18,1.4455,0.0742
100000,deadpool3,19,1.4455,0.0742
100000,deadpool3,20,1.4455,0.0742
100000,ds,0.0,0.4288,0.02821
100000,ds,1.0,0.6455,0.02297
100000,ds,2.0,0.8746,0.01711
100000,ds,3.0,0.9419,0.01757
100000,ds,4.0,1.0173,0.02134
100000,ds,5.0,1.1215,0.02471
100000,ds,6.0,1.2207,0.02839
100000,ds,7.0,1.2883,0.03077
100000,ds,8.0,1.3437,0.03264
100000,ds,9.0,1.3671,0.03367
100000,ds,10.0,1.4077,0.03587
100000,ds,11.0,1.4558,0.03972
100000,ds,12.0,1.4864,0.04548
100000,ds,13.0,1.4798,0.05567
100000,ds,14.0,1.4267,0.07283
100000,ds,15.0,1.3107,0.10897
100000,ds,16.0,1.1339,0.16888
100000,ds,17.0,1.1652,0.17721
100000,ds,18.0,1.1678,0.19403
100000,ds,19.0,1.1751,0.20986
100000,ds,20.0,1.1526,0.24167
100000,E374,0.0,0.3734,0.01658
100000,E374,1.0,0.4546,0.01752
100000,E374,2.0,0.5305,0.01868
100000,E374,3.0,0.5993,0.02034
100000,E374,4.0,0.6778,0.02156
100000,E374,5.0,0.768,0.02166
100000,E374,6.0,0.8723,0.01989
100000,E374,7.0,0.9558,0.01802
100000,E374,8.0,0.9325,0.02445
100000,E374,9.0,0.9369,0.03142
100000,E374,10,0.9674,0.0432
100000,E374,11.0,0.9979,0.05498
100000,E374,12.0,0.9452,0.07075
100000,E374,13.0,0.8758,0.09168
100000,E374,14.0,0.8261,0.11633
100000,E374,15.0,0.7718,0.15785
100000,E374,16.0,0.7854,0.18488
100000,E374,17.0,0.7977,0.21163
100000,E374,18.0,0.812,0.23106
100000,E374,19.0,0.8136,0.24472
100000,E374,20.0,0.8279,0.26445
100000,E387,0.0,0.4107,0.01599
100000,E387,1.0,0.5112,0.01742
100000,E387,2.0,0.6152,0.01908
100000,E387,3.0,0.7137,0.02057
100000,E387,4.0,0.8103,0.02255
100000,E387,5.0,0.9131,0.02339
100000,E387,6.0,1.0227,0.01996
100000,E387,7.0,1.1252,0.01973
100000,E387,8.0,1.1542,0.0237
100000,E387,9.0,1.1442,0.03396
100000,E387,10.0,1.2319,0.04561
100000,E387,11.0,1.2323,0.06124
100000,E387,12.0,1.1646,0.07901
100000,E387,13.0,1.0757,0.10406
100000,E387,14,1.01935,0.14566
100000,E387,15.0,0.963,0.18726
100000,E387,16.0,0.979,0.2164
100000,E387,17.0,0.9681,0.2307
100000,E387,18.0,0.9849,0.2505
100000,E387,19.0,1.0101,0.28237
100000,E387,20.0,0.9917,0.29657
100000,e395.dat,0.0,0.4107,0.01599
100000,e395.dat,1.0,0.5112,0.01742
100000,e395.dat,2.0,0.6152,0.01908
100000,e395.dat,3.0,0.7137,0.02057
100000,e395.dat,4.0,0.8103,0.02255
100000,e395.dat,5.0,0.9131,0.02339
100000,e395.dat,6.0,1.0227,0.01996
100000,e395.dat,7.0,1.1252,0.01973
100000,e395.dat,8.0,1.1542,0.0237
100000,e395.dat,9.0,1.1442,0.03396
100000,e395.dat,10.0,1.2319,0.04561
100000,e395.dat,11.0,1.2323,0.06124
100000,e395.dat,12.0,1.1646,0.07901
100000,e395.dat,13.0,1.0757,0.10406
100000,e395.dat,14,1.01935,0.14566
100000,e395.dat,15.0,0.963,0.18726
100000,e395.dat,16.0,0.979,0.2164
100000,e395.dat,17.0,0.9681,0.2307
100000,e395.dat,18.0,0.9849,0.2505
100000,e395.dat,19.0,1.0101,0.28237
100000,e395.dat,20.0,0.9917,0.29657
100000,E423,0.0,0.3972,0.07761
100000,E423,1.0,0.6265,0.06782
100000,E423,2.0,0.8156,0.06343
100000,E423,3.0,0.759,0.07789
100000,E423,4.0,0.8948,0.07816
100000,E423,5.0,0.8802,0.09095
100000,E423,6.0,1.0015,0.09146
100000,E423,7.0,0.9837,0.10438
100000,E423,8.0,1.1165,0.10325
100000,E423,9.0,1.0898,0.11813
100000,E423,10.0,1.2371,0.11385
100000,E423,11.0,1.2153,0.12814
100000,E423,12.0,1.2194,0.14039
100000,E423,13.0,1.34,0.1353
100000,E423,14.0,1.3296,0.14946
100000,E423,15.0,1.3264,0.16308
100000,E423,16,1.37445,0.167425
100000,E423,17.0,1.4225,0.17177
100000,E423,18.0,1.3808,0.19887
100000,E423,19.0,1.3617,0.2226
100000,E423,20.0,1.4353,0.2188
100000,E591,0.0,0.8073,0.02257
100000,E591,1.0,0.9168,0.02282
100000,E591,2.0,1.0209,0.0237
100000,E591,3.0,1.1103,0.02418
100000,E591,4.0,1.2193,0.02508
100000,E591,5.0,1.3119,0.02785
100000,E591,6.0,1.413,0.03045
100000,E591,7.0,1.4934,0.03276
100000,E591,8.0,1.5497,0.03706
100000,E591,9.0,1.6348,0.03956
100000,E591,10,1.6514,0.045399999999999996
100000,E591,11.0,1.668,0.05124
100000,E591,12.0,1.2409,0.11888
100000,E591,13.0,1.1272,0.15476
100000,E591,14.0,1.216,0.15666
100000,E591,15.0,1.1231,0.19438
100000,E591,16.0,1.1739,0.22649
100000,E591,17.0,1.1544,0.24887
100000,E591,18.0,1.1819,0.25428
100000,E591,19.0,1.1939,0.28831
100000,E591,20.0,1.1368,0.29649
100000,e,0.0,0.4288,0.02821
100000,e,1.0,0.6455,0.02297
100000,e,2.0,0.8746,0.01711
100000,e,3.0,0.9419,0.01757
100000,e,4.0,1.0173,0.02134
100000,e,5.0,1.1215,0.02471
100000,e,6.0,1.2207,0.02839
100000,e,7.0,1.2883,0.03077
100000,e,8.0,1.3437,0.03264
100000,e,9.0,1.3671,0.03367
100000,e,10.0,1.4077,0.03587
100000,e,11.0,1.4558,0.03972
100000,e,12.0,1.4864,0.04548
100000,e,13.0,1.4798,0.05567
100000,e,14.0,1.4267,0.07283
100000,e,15.0,1.3107,0.10897
100000,e,16.0,1.1339,0.16888
100000,e,17.0,1.1652,0.17721
100000,e,18.0,1.1678,0.19403
100000,e,19.0,1.1751,0.20986
100000,e,20.0,1.1526,0.24167
100000,g0x3,0.0,0.5673,0.03697
100000,g0x3,1,0.7238,0.03016
100000,g0x3,2.0,0.8803,0.02335
100000,g0x3,3.0,1.0127,0.02061
100000,g0x3,4.0,1.1261,0.01887
100000,g0x3,5.0,1.2296,0.01977
100000,g0x3,6.0,1.3328,0.02137
100000,g0x3,7.0,1.4225,0.02359
100000,g0x3,8.0,1.5106,0.02567
100000,g0x3,9.0,1.5918,0.0273
100000,g0x3,10.0,1.6573,0.02931
100000,g0x3,11.0,1.7113,0.03135
100000,g0x3,12.0,1.7157,0.03433
100000,g0x3,13.0,1.6767,0.04096
100000,g0x3,14.0,1.6406,0.05253
100000,g0x3,15.0,1.6275,0.06449
100000,g0x3,16.0,1.6242,0.07677
100000,g0x3,17.0,1.5908,0.09425
100000,g0x3,18.0,1.5607,0.11322
100000,g0x3,19.0,1.5078,0.13815
100000,g0x3,20.0,1.3852,0.1849
100000,g0,0.0,0.5997,0.02227
100000,g0,1.0,0.7503,0.0181
100000,g0,2.0,0.8707,0.01782
100000,g0,3.0,0.9871,0.01764
100000,g0,4.0,1.0932,0.01777
100000,g0,5.0,1.1953,0.01859
100000,g0,6.0,1.2927,0.01983
100000,g0,7.0,1.3759,0.02117
100000,g0,8.0,1.4391,0.02343
100000,g0,9.0,1.4555,0.02865
100000,g0,10.0,1.4422,0.03703
100000,g0,11,1.4745,0.04825
100000,g0,12.0,1.5068,0.05947
100000,g0,13.0,1.481,0.07457
100000,g0,14.0,1.4085,0.09485
100000,g0,15.0,1.3232,0.12248
100000,g0,16.0,0.8884,0.17748
100000,g0,17.0,0.8837,0.20648
100000,g0,18.0,0.8701,0.21922
100000,g0,19.0,0.883,0.23457
100000,g0,20.0,0.8616,0.24441
100000,g30107,0.0,0.6088,0.03497
100000,g30107,1.0,0.8268,0.02405
100000,g30107,2.0,0.9766,0.02039
100000,g30107,3.0,1.097,0.01916
100000,g30107,4.0,1.2053,0.01896
100000,g30107,5.0,1.3049,0.02057
100000,g30107,6.0,1.4013,0.02259
100000,g30107,7.0,1.4927,0.02481
100000,g30107,8.0,1.5828,0.02695
100000,g30107,9.0,1.6635,0.02902
100000,g30107,10.0,1.7209,0.03058
100000,g30107,11.0,1.7744,0.03244
100000,g30107,12.0,1.7783,0.03516
100000,g30107,13.0,1.757,0.04011
